"Yes","Oui"
"No","Non"
"Title","Titre"
"Sort Order","Ordre de tri"

"<span style=""color:red"">Do not use the ""test"" environment on production site. Payments will <strong>not</strong> be satisfied.</span>","<span style=""color:red"">Ne pas utiliser l'environnement ""test"" sur le site de production. Les paiements ne se feront <strong>pas</strong>."
"Merchant information","Information sur le commerçant"
"Pending Payment","Paiement en attente"
"Awaiting payment","En attente de paiement"
"Payment Validated Status","Statut du paiement validé"
"Payment Refused Status","Statut du paiement refusé"
"Payment Error Status","Statut du paiement en erreur"
"On Hold","En attente"
"Bank card payment","Paiement par carte bancaire"
"Payment action","Exécution du paiement"
"Manual debit","Débit manuel"
"Automatic debit","Débit automatique"
"Automatic capture status","Statut de commande déclanchant la capture"
"Manual capture only","Capture manuelle seulement"
"On order state change","Capture automatique au changement de statut"
"Status","Statut"
"Payment from Applicable Countries","Mode de paiement autorisé pour"
"Payment from Specific Countries","Mode de paiement autorisé pour les pays spécifiques"
"Specific Countries","Certains pays"
"All Allowed Countries","Tous les pays autorisés"
"<span style=""color: red;"">Warning: make sure your setup is coherent with your bank, ETransactions and Magento module.</span>","<span style=""color: red;"">Attention : assurez-vous que le paramétrage est cohérent entre votre Banque, ETransactions et le module Magento.</span>"
"Never","Jamais"
"Always","Toujours"
"Conditional","Conditionnel"
"Paypal payment","Paiement par Paypal"
"This payment method is only available if you have subscribed to ETransactions System.","Cette méthode de paiement n'est utilisable que si vous avez souscrit à ETransactions System"
"Payment delay","Délai de paiement"
"Immediate","Immédiat"
"Other cards","Autres cartes"
"This payment method is only available if you have subscribed to ETransactions Direct.","Cette méthode de paiement n'est utilisable que si vous avez souscrit à ETransactions Direct"
"Minimum Order Total","Montant minimum de commande"
"Maximum Order Total","Montant maximum de commande"
"Number of orders","Nombre de commandes"
"Leetchi payment","Paiement par cagnotte Leetchi"

"Not achieved","Non réalisé"
"%s the %s","%s le %s"
"Transaction number","Numéro de transaction"
"ETransactions Back Office Reference","Référence du Back-Office ETransactions"
"Payment method","Moyen de paiement"
"Country of IP","Pays de l'IP"
"Processing date","Date de traitement"
"Debit type","Type de débit"
"First debit","Premier débit"
"Second debit","Deuxième débit"
"Third debit","Troisième débit"
"Card country","Pays de la carte"
"Card numbers","Numéros de la carte"
"Validity date","Date de validité"
"Total Debit","Débit total"
"Partial debit","Débit partiel"
"Refund","Remboursement"

"This is a debug view. Click continue to be redirected to ETransactions payment page.","Ceci est une vue de débogage. Cliquez sur le bouton pour être redirigé vers la page de paiement de ETransactions."
"You will be redirected to the ETransactions payment page. If not, please use the button bellow.","Vous allez être automatiquement redirigé vers la page de paiement de ETransactions. Si la redirection n'a pas lieu rapidement, veuillez utiliser le bouton ci-dessous."
"Continue...","Continuer..."

"Secrete HMAC key to create using the ETransactions interface.","Clé secrète HMAC à générer depuis le Back-Office ETransactions."
"By enabling this feature, an invoice is automatically generated when the payment is accepted by ETransactions","En activant cette fonctionnalité, une facture est automatiquement générée quand le paiement est accepté par ETransactions."
"In test mode your payments will not be sent to the bank.","En mode test vos paiements ne sont pas envoyés en banque."
"Internal login provided by ETransactions.","Identifiant interne délivré par ETransactions."
"Back Office password provided by ETransactions.","Mot de passe du Back-Office délivé par ETransactions."
"Rank number provided by ETransactions (last 2 digits).","Numéro de rang délivré par ETransactions (les 2 derniers chiffres)."
"Site number provided by ETransactions.","Numéro de site délivré par ETransactions."
"If you disable E-Carte Bleu, contact the ETransactions support","Si vous désactivez E-Carte bleue, veuillez contacter le support ETransactions (cf. documentation)."
"ETransactions module can show payment information to customer. You can disable this feature here.","Le module ETransactions peut afficher les informations de paiement aux clients. Vous pouvez désactiver cette fonctionnalité ici."

"3-D Secure Warranty","Garantie 3-D Secure"
"Enable","Activer"
"3-D Secure Version","Version 3-D Secure"
"Billing and shipping addresses","Adresses de facturation et de livraison"
"Once authorized","Après autorisation"
"Once paid","Après paiement"
"Check your ETransactions contract before enabling this option.","Assurez-vous d'avoir activé cette option auprès de ETransactions."
"Conditions","Conditions"
"Environment","Environnement"
"Automatic invoice","Facturer automatiquement"
"Other options","Option supplémentaire"
"Show payment information to customers","Afficher les informations de paiement aux clients"
"HMAC","HMAC"
